	var1.pred	var1.var	observed	residual	zscore	fold	easting	northing	optional	
53	52.94898504	111.7376864	43.29199982	-9.656985221	-0.913569789	53	4814.500456	2875.75281	TRUE	
54	40.51178498	107.5787872	61	20.48821502	1.975335193	54	4799.604069	2982.296322	TRUE	
55	53.4798502	126.1410559	51	-2.479850201	-0.220799058	55	4951.556608	2979.957107	TRUE	
56	37.02891294	111.6411556	43	5.971087058	0.565120734	56	4680.47174	3069.481807	TRUE	
57	37.82753078	115.7597272	40	2.172469224	0.20191793	57	4739.457116	3011.064302	TRUE	
58	40.79142275	106.495261	43	2.208577251	0.214016597	58	4595.745062	3029.097711	TRUE	
59	38.59143648	112.3021294	38.25	-0.341436476	-0.032219287	59	4695.907725	3088.95823	TRUE	
60	39.98745055	109.3700036	32	-7.987450552	-0.763763798	60	4569.833949	3012.329329	TRUE	
61	48.41193896	106.1258726	82.09100342	33.67906446	3.269259407	61	4903.193587	2988.669632	TRUE	
62	42.73841245	109.6108159	24	-18.73841245	-1.789806532	62	4755.638208	2975.942472	TRUE	
63	39.23846636	108.0027184	49.33300018	10.09453382	0.971334746	63	4558.060341	3035.136319	TRUE	
64	41.95732066	108.8945381	41	-0.957320665	-0.091739081	64	4781.012076	3005.461957	TRUE	
65	46.25768073	111.3062193	7.458000183	-38.79968055	-3.677633393	65	4637.979168	3105.534716	TRUE	
66	51.34547595	120.1971124	65.5	14.15452405	1.291065433	66	4924.48339	3013.856195	TRUE	
67	43.81595148	135.9496914	42.52500153	-1.29094995	-0.110718525	67	4300.108407	3379.651514	TRUE	
68	24.24716082	139.2432789	16.77099991	-7.476160916	-0.633565499	68	4412.155413	2762.437498	TRUE	
69	43.83548077	112.8311636	49.38299942	5.547518654	0.522256962	69	4568.846932	3266.033147	TRUE	
70	42.35239216	115.6175375	48.5870018	6.23460964	0.579825631	70	4540.123127	3267.498945	TRUE	
71	31.48431626	115.3221357	42.7480011	11.26368484	1.048876009	71	4246.462122	3147.227327	TRUE	
72	17.20369659	130.4713448	18.43799973	1.234303131	0.108059825	72	4070.872699	2928.529702	TRUE	
73	41.86828769	125.4978831	58.11000061	16.24171293	1.449818476	73	4530.80344	3136.858547	TRUE	
74	25.48796249	135.40569	32.83300018	7.345037691	0.631212472	74	4347.593787	3050.059854	TRUE	
75	16.20059825	121.2258054	15.80900002	-0.39159823	-0.035566668	75	4204.37798	2886.741149	TRUE	
